01/27/2021, 03:31:30;{"mean": "36.7", "stdev": "42.89"}
01/27/2021, 03:31:38;{"mean": "38.9", "stdev": "41.83"}
01/27/2021, 03:31:46;{"mean": "41.1", "stdev": "40.61"}
01/27/2021, 03:31:55;{"mean": "43.3", "stdev": "39.23"}
01/27/2021, 03:32:03;{"mean": "45.5", "stdev": "37.67"}
01/27/2021, 03:32:11;{"mean": "47.7", "stdev": "35.9"}
01/27/2021, 03:32:19;{"mean": "49.9", "stdev": "33.89"}
01/27/2021, 03:32:27;{"mean": "52.1", "stdev": "31.6"}
01/27/2021, 03:32:35;{"mean": "54.3", "stdev": "28.95"}
01/27/2021, 03:32:43;{"mean": "56.5", "stdev": "25.84"}
01/27/2021, 03:32:51;{"mean": "56.67", "stdev": "25.79"}
01/27/2021, 03:32:59;{"mean": "55.47", "stdev": "25.16"}
01/27/2021, 03:33:07;{"mean": "54.27", "stdev": "24.45"}
01/27/2021, 03:33:15;{"mean": "52.4", "stdev": "24.0"}
01/27/2021, 03:33:25;{"mean": "48.57", "stdev": "27.25"}
01/27/2021, 03:33:34;{"mean": "44.73", "stdev": "29.64"}
01/27/2021, 03:33:43;{"mean": "40.9", "stdev": "31.37"}
01/27/2021, 03:33:52;{"mean": "37.07", "stdev": "32.55"}
01/27/2021, 03:34:01;{"mean": "33.23", "stdev": "33.23"}
01/27/2021, 03:34:10;{"mean": "29.4", "stdev": "33.44"}
01/27/2021, 03:34:19;{"mean": "28.9", "stdev": "34.17"}
01/27/2021, 13:09:23;{"mean": "30.1", "stdev": "33.35"}
01/27/2021, 13:09:36;{"mean": "30.23", "stdev": "33.32"}
01/27/2021, 13:09:48;{"mean": "29.37", "stdev": "33.09"}
01/27/2021, 13:10:01;{"mean": "28.5", "stdev": "32.85"}
01/27/2021, 13:10:13;{"mean": "27.63", "stdev": "32.58"}
01/27/2021, 13:10:26;{"mean": "26.77", "stdev": "32.28"}
01/27/2021, 13:10:38;{"mean": "25.9", "stdev": "31.95"}
01/27/2021, 13:11:00;{"mean": "25.03", "stdev": "31.6"}
01/27/2021, 13:11:12;{"mean": "24.17", "stdev": "31.22"}
01/27/2021, 13:11:25;{"mean": "23.3", "stdev": "30.8"}
01/27/2021, 13:11:37;{"mean": "22.43", "stdev": "30.36"}
01/27/2021, 13:11:50;{"mean": "21.57", "stdev": "29.88"}
01/27/2021, 13:12:02;{"mean": "20.7", "stdev": "29.37"}
01/27/2021, 13:12:15;{"mean": "19.83", "stdev": "28.83"}
01/27/2021, 13:12:28;{"mean": "17.37", "stdev": "29.23"}
01/27/2021, 13:12:41;{"mean": "14.9", "stdev": "29.42"}
01/27/2021, 13:12:56;{"mean": "12.43", "stdev": "29.39"}
01/27/2021, 13:13:06;{"mean": "9.97", "stdev": "29.14"}
01/27/2021, 13:13:15;{"mean": "7.5", "stdev": "28.68"}
01/27/2021, 13:13:24;{"mean": "5.03", "stdev": "27.98"}
01/27/2021, 13:13:33;{"mean": "2.57", "stdev": "27.04"}
01/27/2021, 13:13:42;{"mean": "0.1", "stdev": "25.81"}
01/27/2021, 13:13:51;{"mean": "-1.7", "stdev": "25.46"}
01/27/2021, 13:14:00;{"mean": "-1.53", "stdev": "25.3"}
01/27/2021, 13:14:09;{"mean": "-1.37", "stdev": "25.14"}
01/27/2021, 13:14:18;{"mean": "-1.2", "stdev": "24.97"}
01/27/2021, 13:14:27;{"mean": "-1.03", "stdev": "24.8"}
01/27/2021, 13:14:36;{"mean": "-0.87", "stdev": "24.63"}
01/27/2021, 13:14:45;{"mean": "-0.7", "stdev": "24.46"}
01/27/2021, 13:15:04;{"mean": "-0.6", "stdev": "24.36"}
01/27/2021, 13:15:13;{"mean": "-2.2", "stdev": "24.19"}
01/27/2021, 13:15:22;{"mean": "-3.8", "stdev": "23.92"}
01/27/2021, 13:15:31;{"mean": "-5.4", "stdev": "23.53"}
01/27/2021, 13:15:40;{"mean": "-7", "stdev": "23.01"}
01/27/2021, 13:15:49;{"mean": "-8.6", "stdev": "22.37"}
01/27/2021, 13:15:58;{"mean": "-10.2", "stdev": "21.59"}
01/27/2021, 13:16:07;{"mean": "-11.8", "stdev": "20.65"}
01/27/2021, 13:16:16;{"mean": "-13.4", "stdev": "19.53"}
01/27/2021, 13:16:25;{"mean": "-15", "stdev": "18.19"}
01/27/2021, 14:12:50;{"mean": "-14.17", "stdev": "20.51"}
01/27/2021, 14:12:58;{"mean": "-13.33", "stdev": "22.57"}
01/27/2021, 14:13:07;{"mean": "-14.6", "stdev": "21.37"}
01/27/2021, 14:13:16;{"mean": "-16.03", "stdev": "20.03"}
01/27/2021, 14:13:25;{"mean": "-17.47", "stdev": "18.47"}
01/27/2021, 14:16:21;{"mean": "-16.5", "stdev": "18.92"}
01/27/2021, 14:16:29;{"mean": "-15.53", "stdev": "19.31"}
01/27/2021, 14:16:37;{"mean": "-14.57", "stdev": "19.65"}
01/27/2021, 14:16:45;{"mean": "-13.6", "stdev": "19.93"}
01/27/2021, 14:16:53;{"mean": "-12.63", "stdev": "20.16"}
01/27/2021, 14:17:01;{"mean": "-11.67", "stdev": "20.34"}
01/27/2021, 14:17:10;{"mean": "-11.7", "stdev": "20.36"}
01/27/2021, 14:17:19;{"mean": "-11.73", "stdev": "20.38"}
01/27/2021, 14:17:28;{"mean": "-11.77", "stdev": "20.4"}
01/27/2021, 14:17:37;{"mean": "-11.8", "stdev": "20.42"}
01/27/2021, 14:17:46;{"mean": "-11.83", "stdev": "20.44"}
01/27/2021, 14:17:55;{"mean": "-11.87", "stdev": "20.46"}
01/27/2021, 14:18:04;{"mean": "-11.9", "stdev": "20.48"}
01/27/2021, 14:18:13;{"mean": "-11.93", "stdev": "20.5"}
01/27/2021, 14:18:22;{"mean": "-11.97", "stdev": "20.52"}
01/27/2021, 14:18:31;{"mean": "-12", "stdev": "20.54"}
01/27/2021, 14:18:40;{"mean": "-9.23", "stdev": "24.26"}
01/27/2021, 14:18:48;{"mean": "-6.83", "stdev": "26.32"}
01/27/2021, 14:18:57;{"mean": "-4.43", "stdev": "28.03"}
01/27/2021, 14:19:05;{"mean": "-2.03", "stdev": "29.43"}
01/27/2021, 14:19:13;{"mean": "0.37", "stdev": "30.57"}
01/27/2021, 14:19:22;{"mean": "2.77", "stdev": "31.49"}
01/27/2021, 14:19:30;{"mean": "5.17", "stdev": "32.19"}
01/27/2021, 14:19:38;{"mean": "7.57", "stdev": "32.7"}
01/27/2021, 14:19:47;{"mean": "9.97", "stdev": "33.02"}
01/27/2021, 14:19:55;{"mean": "9.93", "stdev": "32.98"}
01/27/2021, 14:20:03;{"mean": "9.9", "stdev": "32.94"}
01/27/2021, 14:20:11;{"mean": "11.97", "stdev": "33.39"}
01/27/2021, 14:20:20;{"mean": "14.2", "stdev": "33.56"}
01/27/2021, 14:20:28;{"mean": "16.43", "stdev": "33.57"}
01/27/2021, 14:20:36;{"mean": "17.87", "stdev": "34.03"}
01/27/2021, 14:20:45;{"mean": "19.3", "stdev": "34.41"}
01/27/2021, 14:20:53;{"mean": "20.73", "stdev": "34.73"}
01/27/2021, 14:21:01;{"mean": "22.17", "stdev": "34.99"}
01/27/2021, 14:21:10;{"mean": "23.6", "stdev": "35.19"}
01/27/2021, 14:21:18;{"mean": "25.03", "stdev": "35.32"}
01/27/2021, 14:21:26;{"mean": "27.47", "stdev": "34.33"}
01/27/2021, 14:21:35;{"mean": "29.9", "stdev": "33.12"}
01/27/2021, 14:21:43;{"mean": "32.33", "stdev": "31.67"}
01/27/2021, 14:21:52;{"mean": "34.77", "stdev": "29.95"}
01/27/2021, 14:22:00;{"mean": "37.2", "stdev": "27.91"}
01/27/2021, 14:22:08;{"mean": "39.63", "stdev": "25.46"}
01/27/2021, 14:22:16;{"mean": "42.07", "stdev": "22.49"}
01/27/2021, 14:22:25;{"mean": "44.5", "stdev": "18.73"}
01/27/2021, 14:22:33;{"mean": "46.93", "stdev": "13.55"}
01/27/2021, 14:22:41;{"mean": "49.37", "stdev": "2.01"}
01/27/2021, 14:22:50;{"mean": "49", "stdev": "0.0"}
01/27/2021, 14:22:58;{"mean": "49", "stdev": "0.0"}
01/27/2021, 14:23:06;{"mean": "49", "stdev": "0.0"}
01/27/2021, 14:23:14;{"mean": "49", "stdev": "0.0"}
01/27/2021, 14:23:23;{"mean": "49", "stdev": "0.0"}
01/27/2021, 14:23:31;{"mean": "49", "stdev": "0.0"}
01/27/2021, 14:38:36;{"mean": "49", "stdev": "0.0"}
01/27/2021, 14:38:45;{"mean": "49", "stdev": "0.0"}
01/27/2021, 14:38:53;{"mean": "49", "stdev": "0.0"}
01/27/2021, 14:39:02;{"mean": "49", "stdev": "0.0"}
01/27/2021, 14:39:10;{"mean": "49", "stdev": "0.0"}
01/27/2021, 14:39:19;{"mean": "46.63", "stdev": "12.96"}
01/27/2021, 14:39:28;{"mean": "44.27", "stdev": "18.01"}
01/27/2021, 14:39:37;{"mean": "41.9", "stdev": "21.66"}
01/27/2021, 14:39:46;{"mean": "39.53", "stdev": "24.55"}
01/27/2021, 14:39:55;{"mean": "37.17", "stdev": "26.91"}
01/27/2021, 14:40:04;{"mean": "34.8", "stdev": "28.89"}
01/27/2021, 14:40:14;{"mean": "32.43", "stdev": "30.54"}
01/27/2021, 14:40:23;{"mean": "30.07", "stdev": "31.93"}
